Sample ID;Year;Acacia;Acalypha;Achyranthes aspera-type;Aeschynomene baumii-type;Aidia micrantha-type;Alchemilla;Alchornea;Allophylus;Amaranthaceae;Anacardiaceae undiff.;Anagallis-type;Anthocleista;Anthospermum;Apiaceae undiff.;Apodytes dimidiata;Artemisia;Asteroideae;Begonia;Bersama abyssinica-type;Blighia unijugata-type;Brachystegia;Brassicaceae;Carduus;Caryophyllaceae undiff.;Cassia mimosoides-type;Celtis;Cerastium afromontanum-type;Cerastium octandrum-type;Chrysophyllum bangweolense-type;Clematis;Cliffortia nitidula-type;Clutia;Combretaceae;Cornus volkensii;Crassocephalum montuosum-type;Croton;Cucurbitaceae;Diospyros;Dodonaea viscosa-type;Ekebergia-type;Entada-type;Ericaceae;Eriocaulaceae;Euclea;Euphorbia;Fabaceae undiff.;Ficus;Fleroya rubrostipulata-type;Galiniera saxifraga-type;Garcinia volkensii-type;Geranium;Hagenia abyssinica;Harungana;Hymenocardia;Hymenodictyon floribundum-type;Hypericum;Hypoestes-type;Ilex mitis;Impatiens;Isoglossa;Justicia striata-type;Keetia gueinzii-type;Kotschya-type;Lamiaceae undiff.;Laportea aestuans-type;Laurembergia tetrandra;Lobelia;Loranthaceae;Lythrum;Macaranga-type;Maesa lanceolata-type;Margaritaria discoidea-type;Melastomataceae;Mimulopsis-type;Monocotyledoneae undiff.;Moraceae undiff.;Myrianthus holstii-type;Myrica;Nuxia/Ficalhoa;Oldenlandia-type;Olea capensis-type;Olea europaea-type;Parinari-type;Persicaria-type;Phoenix reclinata-type;Phyllanthus niruri-type;Phyllanthus rivae-type;Pilea bambuseti-type;Plantago africana-type;Poaceae;Podocarpus;Polyscias fulva-type;Protea-type;Prunus africana-type;Psydrax schimperiana-type;Ranunculus;Rapanea melanophloeos-type;Rhamnaceae;Ricinus communis;Rubia-type;Rubiaceae undiff.;Rubus pinnatus-type;Rumex;Schefflera abyssinica-type;Schefflera myriantha-type;Sebaea brachyphylla-type;Securinega virosa-type;Sericostachys scandens-type;Shirakiopsis elliptica-type;Silene burchellii-type;Smithia elliotii-type;Solanecio mannii-type;Solanum;Spermacoce-type;Stellaria mannii-type;Stephania abyssinica-type;Swertia usambarensis-type;Symphonia globulifera;Syzygium-type;Tetrorchidium;Thalictrum;Tilioideae;Trema orientalis-type;Uapaca undiff.;Uebelinia abyssinica-type;Urticaceae undiff.;Virectaria;Xyris;Zanthoxylum-type
45842;7478;;;;;;2;23;;;;;;;20;9;;15;;;;;;;;;5;;;;;;;1;;;;;;;1;;5;;;;;;;;;;1;;;;3;;;;;;;;5;;9;;;;22;;;1;1;1;;3;;3;1;4;;;;;;1;;;14;;6;;;;;8;;;;10;;;;14;;;;;;;;;;;;1;;10;;;;1;;;3;;10;4
45843;7556;;;;2;;;29;;;;1;1;;43;1;;17;;;;;;;;;2;;;;;;1;;;;;;;1;;;1;;;;;;;1;;;1;;;;;;;1;;;;;;;27;;;;26;;;;1;;1;;1;1;;1;;;;;;1;;;18;3;15;;;;;3;;;;2;;;;3;;;;;;;;;;;;;;6;;;;1;;;;;5;3
45844;7634;;2;;;;;23;;;;;;;18;1;;19;1;;;;;;;;1;;;;;;;2;;;1;;;1;;;;;;;;;;;;;2;3;;;;;;1;;;2;;;;4;;;;41;;;;1;;7;2;;1;1;1;;;;;;;;;10;6;3;;1;;;2;;;;9;;;1;13;;;;;;;;;;;;;;12;1;;;;;;5;;10;
45845;7712;;4;;1;;;48;;;;;;;4;4;;15;;;;;;;;;9;;;;;;;;;;1;;;3;1;1;3;;;1;;3;;;;;3;;1;;;;;1;;;;;;;7;;;;80;;1;;1;;5;7;;;1;5;;;;;;;;;11;6;20;;1;2;;;;;;8;;;;5;;;1;;;;;;;;;;;24;;;;;;;11;;4;3
45846;7790;;9;;5;;;47;;;;;1;1;13;5;;8;;;;;;;;;4;;;;;;;1;;;1;;;;;;;;;;;;;2;;;13;1;;;;;;;;;1;;;;7;;;;82;;1;;;;9;2;;;;3;;;;;;;1;;19;14;10;;;2;;2;2;;;17;;;;41;;;1;;;;;;;;;;;37;3;;1;;;;27;;13;1
45847;7856;;5;;7;;;57;;;;2;;;10;4;;8;;;;;;;;;8;;;;;;;;;;1;;;2;;;2;;;;;;2;4;;;5;;;;;;;;;;;;;;6;;;;54;;;;6;;4;3;;;;4;;2;;3;;1;;;13;11;38;;1;5;;;;;;16;3;1;;13;;;2;;;;;;;;;;;14;1;;;;;;;;12;1
45848;7921;;2;;5;3;;21;1;;;;;;5;9;;16;1;;;;;;;;6;;;;;;;;;;2;;1;;;;5;;;1;;8;;1;;;4;3;;;;;;;;;1;;;5;8;;;;76;;;;2;2;9;;1;;;2;;;;;;;;;21;8;29;;;1;;1;;;;24;;;1;2;;;;;;;;;;;;;;18;;;;;;;7;;4;1
45849;7986;;3;;3;;;46;;;;;;;6;6;1;35;;4;;;;;;;5;;;;;;;;;;1;;;1;;;3;;;;;;;1;;;1;;;3;;;1;;;;1;1;;;22;;;;69;;;;;;1;1;;;4;7;;;;;;;;;26;13;28;;1;;1;1;;;;22;1;;;4;;;3;;;;1;;;;;;;17;1;;;;;;2;;6;1
45850;8052;;5;;3;;;37;;;;;;;15;1;;13;;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;1;;;4;3;;;1;;2;;;;;;;;2;;1;;69;;;;2;;5;;;1;1;4;;;;;;;2;;26;6;6;;;2;;2;;;;10;;;;24;;;;;;;;;;;;;;17;;;;;;;13;;14;3
45851;8118;;1;;5;;1;48;;;;1;;;11;3;;17;;;;;;;;;6;;;;;;;;;;;;;;;;3;;;;;;;;;;1;2;;;1;;;1;;;1;;;;13;;1;;55;;;;;;5;1;;1;1;9;;;;;;2;;;25;4;24;;2;2;;1;;;;14;;;;7;;;;;;;;;;;;;;8;1;;;;1;;2;1;12;5
45852;8183;;1;;3;;;26;;;;;;;14;2;1;20;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;1;;1;;;;51;;;;1;;7;3;;;2;7;;;;;;;;;13;3;9;;;;;;;;;5;;;;16;;;;;1;;;;;;;;;14;1;;1;;;;7;;6;
45853;8248;;1;;1;;1;30;;;;4;;;10;2;;16;;1;;;;;;;2;;;;;;;;;;1;;;;;;4;;1;1;;;1;2;;;2;;;1;1;;;1;;;;;;;9;;;;47;;;;;;8;2;;1;;5;;;;;;1;;;23;2;20;;1;;;1;;;;3;2;;;;;;2;;;;;;;;;;;9;2;;;;1;;2;;7;
45854;8314;;1;;3;;1;34;;;;2;;;11;4;;12;;;;;;;;;3;;;;;;;;;;2;;;;;;;;;;1;1;2;;;;6;;;;2;;;;;;;;2;;2;;;;48;;1;;1;;2;;1;3;3;4;;;;;;2;2;;33;1;5;;;;;2;;;;4;;;;29;;;;;;;;;;;;;;10;;;;;;;3;;6;1
45855;8380;;1;;1;;;34;;;;;1;;12;4;1;18;;;;;1;;;;3;;;;;;;;;;;;;;;;3;;;;1;;;1;;;;1;;;;;;1;;;1;;1;;2;;;;38;;;;;;;1;;2;;3;;;;;;;;;17;1;18;;;;;;;;;2;2;;;2;;;;;;;;;;;;;;15;;;;1;;;2;2;2;
45856;8445;;;;1;1;;19;;;;;;;11;6;;12;;;;;;;;;4;;;;;;;1;;;1;1;;;;;1;;;;;;2;3;;;5;;;;1;;;;;;3;;3;;4;;;;66;;;;5;;4;;1;3;;5;1;;;;;1;1;;43;1;22;;;3;;4;;;;13;;;;6;;;1;;;;2;;;;;;;14;1;;;;;;11;;1;
45857;8510;;4;;3;;1;21;;;;1;;1;17;;1;23;;;;;;;;;5;;;;;;;;;;2;;;2;;;2;;;;1;;;2;;;1;;;1;1;;;;;;2;;6;;2;;;;44;;;;4;;2;;;;1;6;;;;;;;1;;40;3;21;;;2;;;1;;;8;1;;;5;;;1;;;;;;;;;;;14;1;;;1;;;2;;;1
45858;8576;;;;2;;;17;;;;;2;;2;4;;24;;;;;;;;;5;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;3;;;;;;1;;5;;1;;;;41;;;;1;;10;;;;1;3;;;1;;;2;;;27;1;7;;;;;1;;;;6;;;;16;;;;;;;;;;;;;;21;;;;2;;;5;;;2
45859;8642;;4;;;;;23;;;;3;;;21;2;1;24;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;1;;;;;;;2;;;;;;;;;;1;;6;;;;;;34;;;;;;1;1;;;;4;;;;;;1;;;35;3;19;;1;2;;;;;1;13;;;;3;;;2;;;;;;;;;;;19;1;;;;;;1;;1;3
45860;8707;;;;4;;1;8;;;;;;;2;1;;20;3;;;;;;;;;;;;;;;;;;;;;1;;;3;;;;;;;3;;;1;1;;;;;;2;;;;1;7;;3;;;;50;;;;2;;1;;;;;3;;;;;;3;;;38;12;18;;;;;3;;;2;5;;;1;8;;;2;;;;;;;;;;;6;;;;;;;;;;
45861;8772;;;;;;;20;;;;2;;;2;1;;29;;;;;;;;;3;;;;;;;;;;2;;;1;;;3;;;;;;;1;;;1;;;;;;;2;;;1;;9;;1;;;;34;;1;;4;;1;;;;1;2;;;;;;3;;;36;1;15;;1;;;2;;;;4;1;;;2;;;;;;;;;;;;;;11;;;1;1;1;;3;;;1
45862;8838;;1;;;;1;6;1;;;;;;4;2;;23;2;;;;;;;;2;;;;;;;;;;2;;;1;;;2;;;;;;;;;;;;;;;;;3;;;1;1;14;;6;;;;67;;1;;2;;5;;;;2;3;;;;;;4;2;;24;2;;;;;;7;;;;6;;;;5;;;1;;;;;;;;;;;12;1;;1;1;;;8;;;
45863;8904;;3;;1;;1;12;;;;;1;;5;3;;24;1;;;;;;;;2;;;;;;;;;;1;;1;;;;3;;;;;;;;;;;;;;3;;;1;;;1;;12;;2;;;;61;;;;3;;3;4;;2;;2;;;;;;3;1;;25;;10;;;;;3;;;;6;;;;2;;;1;;;;;;;;;;;12;;;1;;1;;5;;;2
45864;8969;;2;;;;2;17;;;;;;;6;;1;20;2;;;;;;;;2;;;;;;;;;;;;1;;1;;1;;;;;;1;1;;;3;1;;;1;;;1;;;1;;2;;;;;;69;;;;1;;1;;;;;2;;;;;;2;;;41;3;16;;;;;6;;;;;;;;11;;;;;;;;;;;;;;5;;;;;;;4;;;
45865;9034;;1;;;;;16;1;;;2;;;8;;;19;2;;;;;;;;3;;;;;;;;;;2;;;;;;1;;;;;;;;;;1;;;;1;;;;;;;;6;;;;;;73;;;;2;;4;;;;;3;;;;;;3;2;;23;3;8;;;;;1;;;;2;;;;2;;;;;;;;;;;;;;7;;;;1;;;2;;1;3
45866;9100;;3;;;;3;10;;;;;;;7;;;13;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;3;;;;;;;3;;;;;4;;2;;;;78;;1;;1;;2;1;1;;;1;;;;;;9;1;;36;;3;;;;;4;;;;2;;;1;13;;;;;;;;;;;;;;13;;;;;;;1;;1;
45867;9198;;1;;;;2;11;;;;1;;;3;;;17;4;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;1;;;;;;;1;3;;;;;;56;;;;;;1;;;;;2;;;1;;;5;1;;33;5;5;;;;;1;;;;1;;;;8;;;1;;;;;;;;;;;9;;;;;;;8;;1;
45868;9296;;;;1;;4;13;;;;1;;;7;3;1;18;3;;;;;1;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;;2;2;;;1;;;1;;;2;;7;;;;;;90;;;;1;;5;;;2;;4;;;;;;2;;;30;2;2;;;;;;;;;1;;;;7;;;;;;;;;;;;;;9;;;1;1;;;7;;1;
45869;9393;;2;1;;;6;4;1;1;;1;;;9;;;26;;;;;;;;;;;;;;;;;;1;;;;2;1;;2;1;;;1;;;;;;4;1;;;1;;;1;;;1;;;;1;;;1;30;;;;1;;1;;2;;;8;;;;;;3;1;;31;5;18;;1;;;;;;;2;;;;4;;;;;;;;;;;;;;9;;;;1;;;;1;;1
45870;9472;;1;;;;5;4;;;;;;;14;;;13;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;;;;1;;;3;;;;;;;;;;;;;;;;;;26;;;;1;;1;;;;;5;;;;;;1;;;22;2;1;;;;;2;;;;;;;;4;;;;;;;;;;;;;;7;;;;;;;5;;;2
45871;9589;1;2;;;;12;4;;;;;;;33;1;;8;;;;;;;;1;;;;;;;;;;;;;;;;;7;;;;1;;;;;;3;;;1;;;;;;;1;;;;;;;;21;1;;1;3;;;;;;;1;;;;;;2;;1;33;7;6;;;;;;;;;1;;;;2;1;2;;;;;;;;;;;;4;;;;2;;;;;;
45872;9687;;4;;;;7;6;;;;;;;7;2;;19;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;3;;;;1;;;2;;;;;;;2;1;;;40;;;;1;1;2;1;;;;3;;;;;;3;1;;43;5;2;;;;;1;;;;;;;;5;;;1;;;;;;;;;;;4;;;;;;;10;;;1
45873;9785;;;;;;16;33;;;;;1;;4;6;;27;;;;;;;;;1;;1;;;1;;1;;;;;;;;;5;;;1;1;;;1;;;6;;;;6;1;;4;;;;;;;2;;;;44;;;13;;;;;1;;;4;1;;;;1;7;;;39;6;6;;2;;;3;;;;8;;;;6;;;;1;;;;;;;;;;26;1;;;;;;;1;;
45874;9882;;;;;;7;5;;;;;;;6;;;22;;;;;;;;;2;;;;;;;;;;;;;;;;5;;;;;;;;;;11;;;;2;;;2;1;;;;;;;;;;22;;;;3;;2;;;;;4;;;;;;6;1;;78;8;1;;;;;;;;;;1;;;3;;;;;;;;;;;;;;6;;;;;;;11;;;
45875;9980;;2;;;;11;5;;;;;;;17;;;18;;;;;;;;;4;;;;1;;;;;;;;;;;;3;;;;;;;;;;6;;;;;;;2;1;;;;;;1;;;;31;;;;1;1;;;2;1;;5;;;;;;3;;;86;8;2;;;;;;;;;4;;;;5;;;;;;1;;;;;;;;4;;1;;;;;6;;;
45876;10058;;2;;;;14;;;;;;;;9;;1;19;1;;;;;;;;2;;;;;;;;;;;1;;1;;;4;;;;;;;;;;10;;;;;;;;1;;;;;;;;;;31;;;;;;2;1;1;1;;1;;;;;;4;;;52;4;2;1;;;;1;;;;;;;;;;;;;;;;;;1;;;;3;;;;;;;2;;;
45877;10134;;1;;;;7;4;;;;;;;9;;;26;1;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;6;;;;1;;;1;;;1;;;;;;1;;21;;;;;1;1;;;2;;5;;;;;;3;;;64;3;7;;;;;;;;;1;;;;1;;;;;;;;;;;;;;5;;;1;;;;2;;;
45878;10210;;3;;;;15;3;;;;;;;18;1;;35;;;;;;;;;1;;;;1;;;;;;;2;;;;;;;;;;;;;;;1;;1;;;;;1;2;;;;;;;;;;10;;;;1;2;1;;;1;;2;;1;;;;16;3;;52;3;;;;;;;;;2;1;1;;;4;;;;;;;;;;;1;1;;2;;1;;;;;6;;;
45879;10285;;4;;;;14;;;;;;;;15;1;;31;1;;;;;;;;5;;;;;;;;;;;;;;;;3;;;;;;;2;;;9;;;;2;;;1;;;;;;;;;;;6;;;;2;1;;;;;;1;;;;;;17;1;;72;7;5;;;;;;;;1;;;;;3;;;;;;;;;;;;1;;2;;1;;;;;;;;
45880;10361;;1;;;;15;3;;;;;;;3;;;32;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;8;1;;;;;1;;;;;;;;;;;;4;;;;1;1;1;;1;;;4;;;;;;14;;;59;3;1;;;;;1;;;;1;;;;5;;;;;;;;;;;1;1;;4;;;;;;;4;;;
45881;10437;;1;;;;21;6;;;;;;;8;;;41;;;;;;;;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;3;;;;2;;;2;;;;;1;;;;;;25;1;;;;;1;;1;2;;7;;1;;;;12;1;;65;10;3;;;;;;;;2;1;;;;2;;;;;;;;;;;2;1;;4;;;;;;;2;;;1
45882;10513;;;;;;7;3;;;;;;1;9;;;25;;;;;;;;;;;;;1;;;;;;;2;;1;;;3;;;;;;;;;;4;1;;;1;;;;;;;;1;;1;;;;14;;;;;;1;;;2;;2;;;;;;9;1;;88;9;7;;;;2;2;;;;1;;;;2;;;;;;;;;;;;1;;4;;;1;;;;;;;1
45883;10588;;1;;1;;16;1;;;;;;1;12;;;31;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;7;;;;2;;1;;1;;;9;;;;;;21;;;77;11;5;;;;;;;;;2;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;2
45884;10664;;1;;;;21;;;;;;;;4;;1;25;1;;;;;;;;1;;;;;;;1;;;;;;1;;;;;;;;;1;;;;9;;;;;;;;;;;;;;;;;;8;;;;;1;;;;2;;8;;;;;;12;;;82;11;7;;;;;;;;1;1;;;;;;;;;;;;;;;;;;6;;;;;;;2;;;1
45885;10740;;4;1;;;22;1;;;;;;1;10;1;;33;;;;;;2;;;2;;1;;;;;;;;1;;;;;;2;;;;;;;;;;24;;;;;;;;1;;;;;;1;;;;9;;;;;1;;;1;1;;8;;;;;;12;1;;102;9;5;;;;;1;;;;1;;;;7;;;;;1;;;;;;;1;;7;;;;;;;2;;;
45886;10816;;2;;;;17;1;;;;;;;5;2;;26;;;;1;;;;;;;;;;;;;;;;;;1;;;7;;;;;;;;;;6;;;;;;;1;;;;;;;;;;;8;;;;;2;3;;;1;;4;;;;;;1;5;;67;10;;;;;;;;;;3;;;;6;;;;;;;;;;;;;;11;;;;;;;6;;;2
45887;10891;;;;;;22;2;;;;1;;1;2;;1;17;;;;;;;;;;;;;;;;1;;;;;;;;;7;;;;;;;2;;;13;;;;1;;;1;2;;;;;;;;;;4;;;;;;1;;1;;;5;1;1;;;2;;;;65;10;12;;1;;;;;;;;2;;;1;;;;;;;;;;;;1;;8;;;;;;;;;3;
45888;10922;;2;;;;16;;;;;;;;6;;;17;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;14;;;;;;;;;;;;;;;;;;5;;;;1;;1;;;;;8;;;;;;13;2;;46;8;1;;;;;1;;;;1;;;;5;;;;;;;;;;;;;;9;;;;;;;2;;;1
45889;10967;;5;;2;;32;;;;;1;;1;3;2;;29;;;;;;;;;;;;;;2;;;1;;;;;3;;;5;;;;1;;1;1;;;28;;;;1;;1;1;;;;;;;;;;;10;;;;2;4;1;;1;;;14;;1;;;;15;1;;98;17;10;1;;;;2;;;;;;;;1;;;1;;;;;;;;;;;9;;;1;;2;;;1;1;3
45890;10997;;2;;1;;31;;;;;;;;8;;;13;;;;;;;;;1;;;;3;;;1;;;;;;2;;;4;;;;1;;;;;;7;;;;1;;;;;;;;;;;;;;4;;;;1;;;1;;1;;12;;1;;;;12;1;;61;10;2;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;7;;;;;;;5;;1;
45891;11043;;3;;;;37;;;;;;;;7;;;15;;;;;;2;;1;1;;;;;;;;;;1;;;;;;5;;;;;;;;;;34;;;;1;;1;1;1;;;;;;;;;;5;;;;1;2;;;2;;;5;;1;;;;7;;;83;7;2;;;;;;;;2;1;;;;3;;;;;;;;;;;;;;7;;;;;;;4;;1;1
45892;11119;;1;;;;10;2;;;;;;;4;;;17;;;;;;;;;;;;;;;1;;;;1;;;1;;;4;;;;;;;;;;33;;;;;;;2;;;;1;;;;;;;7;;;;;;1;;;;;9;;;;;;8;2;;53;10;;;;;;2;;;;1;2;;;;;;;;;;;;;;;;;3;;;;;;;3;;1;
45893;11194;;1;;;;43;1;;;;;1;;9;;;29;2;1;;;;1;;;;;;;;;;;;;;1;;;;;13;;;;;;;2;;;42;;;;1;;;;;;;;;;3;1;;;4;;;;2;1;;;1;1;;3;;4;;;;7;;;43;5;;;;;;1;;;;3;;;;;;;;;;;;;;;;;;;;2;1;;;;1;;;1
45894;11270;;1;;;;38;;;1;;;;2;17;;;69;;;;;;2;;;2;;;;2;2;;;1;;;;;;;;16;;;;;1;;;;;116;;;;1;;2;1;;;;;;;;;;;11;1;;1;;1;;;7;3;;6;;;;;;10;;;175;20;3;;;;;2;;;;4;1;;;1;;;;;2;;1;;;;;;;1;;4;;;;;8;;2;
45895;11346;;2;;;;25;1;;;;;;;10;;;36;;;;;;1;;;1;;;;1;;;;;;;;;1;;;9;;;;1;;;;;;62;;;;1;;;;;;;;;;;;;;13;;;;1;1;;;1;;;7;;;;;;7;;;80;7;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;1;;;4;;;
45896;11422;;2;;;;15;;;;;2;;;9;;;46;;1;;;;1;;;3;;;;;;15;;;2;;;;;;;30;;;;1;;;;;1;14;;;;2;;1;1;;;;;;;;;;;;;;;;;;;1;7;;6;;;;;;8;;;116;7;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;5;;;
45897;11497;;2;;1;;9;;;;;5;;3;5;2;1;66;;;;;;;;;1;;1;;5;2;;;;1;;;;1;;;41;;;;;;;;;1;16;;;;3;;;2;;;;;;;;1;;;7;;;;;;4;;5;2;;4;;;;;1;12;1;;190;18;;;1;2;;1;;;1;;;;;;;;;;1;3;;;;;;;;1;;;1;;;;;;;4
45898;11680;;2;;;;4;1;;;;2;;4;2;4;;76;;;1;;;;;1;;;;;2;2;;;1;2;1;;;;;;20;;;;1;;;1;;;9;;;;2;;;;1;;;;;;1;;;;13;1;;;1;;;;2;7;;5;;1;;;;14;;;193;9;2;;;;;2;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;1
45899;11909;;3;;;;13;;1;;;;;1;6;;;37;;;;;;1;;;;;;;1;;;;;;;;;;;;5;;;;5;;;;;;19;;;;4;;;2;;;;;;;;;;;15;;;;1;;;;;3;;6;;;;;;2;;;156;8;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;2;;;
45900;12562;;;;;;16;2;;;;;;2;4;;;53;;;;;;2;;;;;;;1;;;;2;3;;;;;;;13;;;;;;;1;;;5;;;;3;;1;;;;;;;;;;;;7;;;;;;;;6;2;;5;;;;;;2;;;176;10;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45901;13500;;;;;;12;;;;;;;3;8;;;55;;;;;;;1;;;;2;;;;;;;1;;;;1;;;1;;;;7;;;;;;8;;;;1;;;1;;;;;;;;;;;10;;;;;3;;;3;2;;5;;;;;;;;;187;7;;;;;2;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;
45902;14438;;;;;;9;2;;;;;;5;7;;;65;;;;;;17;;;1;6;2;;3;2;;;1;;;;;2;;;12;;;;7;;;;;;3;;;;;;1;;;;;;;;;1;;;6;;;;;4;;;9;4;;9;1;;;;;;;;372;29;;1;;2;1;4;;;;;1;;;;;;;;4;;;;;;;1;;1;;;;;;1;;;;
45903;15375;;;;;;2;;;;;;;7;;;1;16;;;;;;6;5;;;7;1;;;;;;;2;;;;;;;10;;;;2;;;;;3;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;3;;;397;9;;;;;3;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
45904;16312;;;;;;2;;;;;;;2;2;;;11;;;;;;1;1;;;;2;;1;;;1;;;;;;;;;1;;;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;2;;;;;;1;;;297;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45905;17250;;;;;;2;;;;;;;5;4;;;5;;;;;;4;;;;3;3;;;;;;1;1;;;;;;;14;;;;3;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;405;11;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45906;18188;;;;;;1;;;;;;;3;10;;;13;;;;;;3;3;;;2;2;;2;2;;;;;;;;;;;19;;;;3;;;;;;5;;;;1;;;;;;;;;;;;;;;;;;;;;;4;2;;2;;;;;;;;;627;15;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
45907;19125;;1;;;;5;;;;;;;3;3;;;21;;;;;;6;;;;1;1;;;;;;;;;;;;;;8;;;;;;;;;1;4;;;;;;;1;1;;;;;;1;;;;1;;;;;1;;;2;;;4;;;;;;2;;;420;8;;;;;2;2;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;;1;1
45908;20062;;;;;;;1;;2;;;;1;2;1;;17;;;;;;3;;;;;1;;;;;;;;;;;;;;10;;;;;;;;;1;6;;;;;;;1;;;;;;;;;;;1;;;;;;;;2;1;;3;;;;;;3;;;546;7;;;;;1;;;;;;;;;;;;;;2;;;;;;;;;1;;1;;;;;;;;
45909;22442;;1;;;;1;;;;;;;1;2;;1;8;;;;;;1;;;;;2;;1;;;;;;;;;;;;7;;;;5;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;3;;;;;;;;;448;17;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;2;;;
45910;25326;;;;;;1;;;;;;;;;;;15;;;;;;9;1;;1;;;;;;;;1;;;;;;;;5;;;;3;;;;;1;3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;1;;;;;;;668;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45911;28210;;1;;;;;;;1;;;;;;1;1;8;;;;;;8;;;;1;;;;;;;;;;;;;;;16;;;;;;;;;5;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;1;;;;;;629;5;;;;;3;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
45912;31094;;;;;;2;;;3;;;;2;2;;1;11;;;;;;11;;;;7;;;;;;;;2;;;;;;;12;;;;;;;;;7;6;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;362;14;;;;;7;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;2;;;;
45913;33977;;1;;;;1;1;;;;;;;2;;;21;;;;;;;;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;1;;;;;1;;1;;;;1;;;;;;;;1;;;3;;;;;;;;;508;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;
45914;39745;;;;;;1;;;;;;;1;1;;;9;;;;;;5;1;;;1;5;;;;;;;;;;;;;;4;;;;1;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;472;24;;;;;4;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;
45915;42629;;;;;;;;;1;;;;1;;;1;22;;;;;2;2;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;3;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;196;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;1;;;
45916;45513;;;;;;2;1;;1;;;;2;;;;26;;;;;;9;;;;1;;;;;;;;;;;;1;;;6;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;2;;;;;;;;;826;2;;;;;3;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;
45917;46666;;;;;;1;;;;;1;;1;;1;1;9;;;;;1;3;;;;;;;;;;;1;;;;;;;;5;;;;;;;;;4;;;;;;;;2;;;2;;;1;2;;;;1;;;;;;;;2;;;;;;;;;1;;2;182;2;;;;;;1;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;2;;;2
