YBP;Acacia;Alchemilla;Allophylus;Anthospermum;Apiaceae;Artemisia;Asteraceae;Carduus;Caryophylaceae;Chenopodiaceae;Combretum;Commiphora;Dodonaea;Ephedra;Erica;Euclea;Hagenia;Hypericum;Iridaceae;Juniperus;Lamiaceae;Leguminosae;Macaranga;Monoletes;Myrica;Olea;Poaceae;Podocarpus;Polygonum;Rumex;Senecio;Urticaceae;Undetermined
10914;0;6;0;1;0;8;44;0;3;26;5;0;0;4;65;0;2;0;3;18;3;1;0;5;4;5;424;33;0;0;4;0;2
10943;0;7;0;2;0;4;45;0;4;23;5;0;0;1;48;0;1;0;2;16;3;3;0;2;2;0;260;32;0;0;5;0;1
10979;1;7;0;2;2;29;31;0;3;37;5;0;0;0;32;0;1;0;0;17;3;4;0;0;1;4;139;49;0;0;2;0;0
11018;0;3;0;0;4;30;33;0;0;38;2;0;0;0;14;0;2;0;1;15;0;5;0;5;4;4;306;48;0;0;2;0;3
11071;0;3;0;1;0;27;34;0;0;44;0;0;0;0;4;0;4;0;1;15;2;5;1;0;0;4;414;43;0;0;1;0;0
11129;0;8;0;2;4;20;46;0;0;24;3;0;0;0;21;0;4;0;2;18;2;1;0;5;4;3;419;40;0;0;2;1;1
11196;0;3;0;1;1;30;33;0;4;15;0;0;0;0;17;0;0;0;0;16;5;4;0;2;2;2;244;45;0;0;4;0;2
11226;0;5;0;1;4;26;36;0;4;31;3;0;0;0;8;0;3;0;0;18;0;1;0;3;2;5;307;44;0;0;2;0;5
11323;0;1;0;0;2;26;36;0;2;17;0;0;0;0;14;0;4;0;5;16;0;0;0;2;0;4;213;41;0;0;4;0;3
11431;1;6;0;2;0;28;34;0;1;33;3;0;0;0;7;0;4;0;2;20;4;5;0;4;2;1;192;41;0;0;5;0;0
11593;2;7;0;1;0;34;35;0;2;45;3;0;0;0;6;0;1;0;2;18;2;1;0;3;0;0;297;50;0;0;3;0;4
11698;1;3;0;0;1;21;33;0;2;23;5;0;0;0;10;0;1;0;3;10;4;2;0;1;1;0;239;31;0;0;0;0;1
11792;3;1;0;0;5;23;33;0;3;44;4;0;0;0;5;1;4;0;4;9;1;4;0;2;0;0;196;37;0;0;2;0;4
11877;0;3;0;0;1;33;32;0;5;29;1;0;2;0;17;4;5;0;1;8;2;5;0;4;0;2;169;33;0;0;2;0;2
11992;0;5;0;0;0;30;39;0;1;37;4;0;0;0;14;2;0;0;1;11;5;2;0;5;1;3;134;48;0;0;2;0;2
12158;0;6;0;1;1;23;34;0;5;37;3;0;0;0;10;1;2;0;2;15;3;5;0;0;3;5;233;39;0;0;5;0;2
12260;0;8;0;2;2;25;28;0;3;34;3;0;0;0;9;4;2;0;3;13;0;3;0;4;3;5;290;39;0;0;0;0;5
12315;0;14;0;2;0;10;27;0;1;33;1;0;0;0;21;5;4;0;1;7;3;1;0;4;2;5;305;31;0;0;1;0;3
12389;0;15;0;1;2;12;30;0;3;19;3;0;0;0;12;2;3;0;2;12;5;5;0;3;2;4;373;44;0;0;1;0;3
12463;0;8;0;0;3;12;42;0;3;21;2;0;0;0;10;2;0;0;4;7;0;2;0;0;2;3;373;35;0;0;3;0;2
12556;0;11;0;0;2;9;31;0;5;34;0;0;0;0;12;1;0;0;4;6;2;0;0;4;3;3;355;44;0;0;0;0;5
12615;1;12;0;2;3;32;36;0;5;29;0;0;0;0;9;1;4;0;1;8;2;0;0;2;0;2;195;17;0;0;4;0;1
12695;0;6;0;0;0;8;28;0;4;33;2;0;0;0;18;2;4;0;3;12;5;3;0;5;1;1;136;25;0;0;4;0;1
12759;0;11;0;1;4;11;30;0;2;27;1;0;0;0;15;1;5;0;5;6;5;1;0;3;4;0;367;24;0;0;1;0;1
12802;0;18;0;2;5;12;34;0;0;17;2;0;0;0;3;0;4;0;5;12;1;5;0;5;1;0;278;21;0;0;0;1;0
12867;0;7;0;1;4;5;42;0;5;34;3;0;0;0;11;1;4;0;2;14;0;5;0;3;2;0;297;12;0;0;4;0;5
12883;0;15;0;1;4;9;36;0;4;25;3;0;0;0;17;0;1;0;4;13;4;0;0;0;0;0;360;30;0;0;4;0;1
12902;0;7;0;0;5;10;33;0;0;40;3;0;0;2;8;0;3;0;0;10;5;0;0;5;1;0;372;12;0;0;4;0;3
12924;0;9;0;2;3;7;38;0;4;44;1;0;0;1;10;0;0;0;4;19;2;0;0;2;4;0;451;20;0;0;2;0;4
12947;0;16;0;0;1;8;45;0;3;28;1;0;0;4;6;0;2;0;1;18;0;2;0;4;2;0;417;18;0;0;1;0;5
12970;0;8;0;1;0;10;34;0;0;15;2;0;0;0;8;0;0;0;5;18;5;2;0;1;4;0;424;20;0;0;0;0;2
12990;0;17;0;0;5;11;27;0;1;32;1;0;1;4;11;0;0;0;2;18;1;2;0;2;0;1;218;28;0;0;0;0;5
13008;0;13;0;0;0;16;22;0;1;43;0;0;0;3;26;0;2;0;3;17;2;5;0;2;2;0;150;10;0;0;2;0;5
13027;0;1;0;0;4;8;10;0;3;23;4;0;0;1;8;0;0;0;1;17;5;5;0;5;3;0;316;22;0;0;4;0;2
13042;0;5;0;0;2;9;23;0;1;103;1;0;0;1;19;0;2;0;4;15;0;3;0;3;2;0;419;24;0;0;1;0;5
13055;0;6;0;1;5;12;15;0;4;105;1;0;0;7;5;0;5;0;5;19;0;5;0;5;3;0;164;4;0;0;1;0;1
13063;0;5;0;1;2;11;34;0;1;125;5;0;0;10;4;0;2;0;4;20;5;2;0;2;0;0;367;0;0;0;2;1;2
13073;0;4;0;0;4;8;22;0;4;131;5;0;0;5;9;0;3;0;1;15;4;4;0;2;2;1;186;0;0;0;0;0;3
13082;0;3;0;2;3;9;17;0;2;134;5;0;0;10;11;0;5;0;1;19;4;3;0;2;0;0;386;0;0;0;0;0;2
13092;0;4;0;0;2;2;34;0;1;136;4;0;0;9;9;0;2;0;4;18;0;0;0;4;3;0;224;6;0;0;1;0;4
13104;0;0;0;1;3;3;11;0;3;118;0;0;0;6;10;0;0;0;5;17;5;0;0;2;2;0;137;1;0;0;2;0;3
13116;0;1;0;1;0;8;11;0;5;136;3;0;0;6;16;0;3;0;0;16;1;4;0;2;2;0;353;2;0;0;0;0;5
13131;0;1;0;2;4;6;27;0;5;110;5;0;0;8;8;0;4;0;5;17;3;3;0;5;0;0;231;8;0;0;4;0;3
13151;0;1;0;1;3;1;33;0;3;120;2;0;1;9;7;0;3;0;5;15;3;0;0;2;1;0;373;4;0;0;1;0;2
13165;0;3;0;2;2;6;19;0;5;106;3;0;0;7;11;0;4;0;4;16;2;1;0;3;4;0;183;6;0;0;5;0;0
13178;0;5;0;2;3;8;17;0;4;131;5;0;0;6;9;0;2;0;3;16;1;3;0;3;3;0;425;2;0;0;4;1;5
13205;0;6;0;1;4;19;17;0;3;133;4;0;0;10;18;0;5;0;0;19;4;1;0;3;1;0;248;6;0;0;2;0;0
13234;0;4;0;0;5;20;12;0;5;99;0;0;0;7;14;0;5;0;2;17;0;0;0;3;2;0;392;4;0;0;1;0;4
13264;0;3;0;0;0;16;19;0;0;128;4;0;0;5;7;0;2;0;0;17;5;2;0;2;1;0;446;0;0;0;2;0;5
13286;0;0;0;2;3;5;12;0;4;108;4;0;0;7;5;0;1;0;1;16;4;3;0;5;2;0;450;1;0;0;3;0;0
13302;0;4;0;0;0;21;26;0;0;144;1;0;0;6;8;0;5;0;3;15;0;0;0;2;3;0;330;4;0;0;4;0;5
13324;0;3;0;1;4;14;25;0;5;90;4;0;0;6;10;0;3;0;4;17;2;5;0;1;0;0;225;2;0;0;3;0;5
13359;0;0;0;1;0;11;34;0;0;127;4;0;0;10;8;0;5;0;3;19;5;0;0;3;3;0;319;3;0;0;1;0;3
13379;0;0;0;1;2;8;32;0;5;101;4;0;2;5;5;0;1;0;0;19;0;1;0;3;4;0;193;2;0;0;5;0;3
13397;0;3;0;0;0;17;34;0;0;111;1;0;0;5;15;1;5;0;4;15;1;5;0;0;0;0;406;0;0;0;2;1;2
13425;0;4;0;2;5;18;21;0;3;94;2;0;0;6;9;1;3;0;4;15;3;1;0;3;0;0;332;0;0;0;3;0;2
13447;0;2;0;2;1;15;23;0;3;108;5;0;0;5;14;0;2;0;1;16;1;0;0;0;1;0;301;0;0;0;0;0;4
13474;0;1;0;2;2;12;28;0;3;98;2;0;0;9;17;0;5;0;2;17;1;0;0;2;4;0;413;0;0;0;2;0;5
13490;0;4;0;2;3;0;61;0;2;97;1;0;0;10;21;0;1;0;4;17;4;2;0;3;4;0;410;0;0;0;4;0;5
13518;0;4;0;1;2;5;60;0;1;125;4;0;0;8;0;0;2;0;0;18;2;5;0;4;4;0;319;0;0;0;2;0;1
13574;0;3;0;0;2;17;16;0;0;108;2;0;0;5;0;0;2;0;3;19;5;2;0;1;3;0;411;0;0;0;4;0;3
13700;0;0;0;0;2;21;43;0;0;92;1;0;0;8;0;0;2;0;4;20;0;4;0;1;1;0;349;0;0;0;3;0;1
