Sample ID;APD 1;Acacia;Acalypha;Acanthaceae;Aeschynomene-type (A. baumii);Alchemilla;Alchornea;Allophylus;Aloe-type;Amaranthaceae;Ammannia-type (A. prieuriana);Anthocleista;Anthospermum;Apiaceae;Apodytes dimidiata;Araliaceae;Artemisia;Asteroideae;Basella alba-type;Begonia;Brachystegia;Brassicaceae;Brucea antidysenterica;Canthium gueinzii-type;Canthium schimperianum;Carduus-type;Caryophyllaceae;Cassia-type (C. mimosoides);Celtis;Cerastium afromontanum-type;Cerastium-type (C. octandrum);Clematis-type;Cliffortia nitidula;Clutia;Combretaceae;Commelina-type (C. benghalensis);Commiphora;Coptosperma-type (C. graveolens);Cornus volkensii;Crassocephalum-type (C. montuosum);Croton-type;Cucurbitaceae;Dichondra-type (D. micrantha);Diospyros;Dipsacoideae;Dodonaea viscosa;Dombeya-type;Ekebergia-type;Embelia;Ericaceae;Eriocaulaceae;Erythrococca-type;Euclea;Euphorbia-type;Faboideae;Ficus;Flabellaria-type (F. paniculata);Galiniera coffeoides;Garcinia volkensii-type;Gentianaceae;Geranium;Hagenia abyssinica;Harungana;Heliotropium steudneri-type;Hymenodictyon-type (H. floribundum);Hypericum;Ilex mitis;Impatiens;Ipomoea-type;Isoglossa;Jasminum;Juniperus procera;Kotschya-type;Lamiaceae;Lannea-type;Laurembergia tetrandra;Lobelia;Loranthaceae;Lythrum;Macaranga;Maerua-type;Maesa lanceolata-type;Margaritaria-type (M. discoidea);Melastomataceae;Mimulopsis-type;Mitragyna-type (M. rubrostipulata);Monocotyledoneae undiff.;Moraceae;Myrica;Myrsine africana;Nuxia/Ficalhoa;Oldenlandia-type;Olea capensis;Olea europaea;Onagraceae;Parinari-type;Persicaria-type;Phoenix reclinata;Phyllanthus-type;Pilea-type (P. bambuseti);Plantago africana-type;Plectranthus-type (P. otostegioides);Poaceae;Podocarpus;Polygala-type;Polyscias fulva-type;Primulaceae;Protea-type;Prunus africana;Ranunculus;Rapanea melanophloeos;Resedaceae;Restio;Rhamnaceae;Ricinus communis;Rubia-type;Rubiaceae;Rubus pinnatus-type;Rumex;Salix subserrata;Sapotaceae;Schefflera-type;Seriphium kilimandscharicum-type;Silene-type (S. burchellii);Solanum;Stellaria mannii-type;Stephania-type (S. abyssinica);Sterculia-type;Swertia-type;Syzygium-type;Teclea-type;Tetrorchidium;Thymelaeaceae;Tilioideae;Trema-type (T. orientalis);Uapaca;Uebelinia-type (U. abyssinica);Urticaceae;Vangueria-type (V. madagascariensis var. madagascariensis);Virectaria;Xyris;Zanthoxylum-type
437922;8685;;3;;;4;7;;;;;;;3;2;;;19;;;;;;1;;;;;4;;;;;;;;;;;;;;;;;;;;;12;;;;;1;;;;;;;1;;;;2;;1;;;;;;;;6;;;;13;;;;;;1;1;3;;;10;;3;;;;;;2;;;;42;14;;2;;;1;;2;;;;;;1;;;;;3;;;;;;;;7;;1;;;;;;5;;;3;
437923;9046;;5;;;3;9;;;;;;;4;2;1;;23;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;1;;;;6;;;;;;;;;;3;;;;4;;;;;1;;;;;;33;;2;;;;;;1;5;;;41;38;;;;;1;;1;;;;;;2;;1;;;;;;;1;;;;21;;;;;;;;5;;;;
437924;9770;;3;;;2;8;;;;;;;3;3;;;18;;;;;;2;1;;;;7;;1;1;;;1;;;;;;;;;;;1;;1;;4;;;;;1;;;;;;;1;;;;1;2;1;;1;;;1;;;3;;;1;6;;;;;;;;1;;;19;;7;;;;;;1;4;;;43;31;;2;;;;;;;;;;;4;;;;;6;;;;;;;;25;;;;;;;;7;;;;
437925;10133;;5;;;7;4;;;1;;;;3;;;;36;;;;;;;;1;;;4;;;;7;;1;;;;;;;;;;;2;;;;13;;;;;1;;;;;;2;3;;;;;1;;;;;;;;;;3;;;11;;;;;;;;;;;3;;8;2;;;;;;;;;105;28;;;;;;;1;;;;;;;;;;;1;1;;;;;;;4;;;;;;;;6;;;7;3
437926;10504;;2;;;8;1;;;;;;1;4;;;;29;;;;;;;;;;;1;;1;1;7;;;;;;;;;;;;;;;;;13;;;;;1;;;;;;;1;;;;1;;;;;;;;;;1;;;;15;;;;;;;;;1;;2;;7;;;;;;;1;;;87;9;;1;;;;;1;;;;;;1;;;;;;;;;;;;;2;;;;;;;;5;;;5;1
437927;10873;;1;;;9;3;;;;;;3;12;1;;;39;;;;;;;;2;;;2;3;;;4;;;;;;;;;;;;;3;;;;10;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;9;;;;;;;;;2;;1;;6;2;;;;;;;;;199;13;;;;;;1;;;;;;;1;;;;;2;;;;;;;;2;;;;;;;;;;;2;1
437928;11427;;2;;;14;2;;;1;;;;7;;;;33;;;1;;;;;7;;;;;4;;2;;;;;;;;;;;;;1;;;;11;;;;;;;;;;;3;2;;;;;;;;1;;;;;;;;;;2;;;;;;;;;5;;;;2;;;;;;;;;;202;11;;;;;;2;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;1;
437929;11981;;4;;;14;2;;;;;;1;10;;;;14;;;;;;;;;;;1;;1;1;1;;;;;;;;;;;;;2;;;;11;;;;;4;;;;;;;3;;;;1;;;;;;;;;;4;;;;6;;;;;;;;;1;;;;11;1;;;;;;;;;240;23;;;;;;;;;;;;;;;;;;3;;;;;;;;2;;;;;;;;2;;;3;
437930;12358;;2;;;9;1;;;3;;;4;10;;;;18;;;;;;;;2;;;1;;2;;3;;;;;;;;;;;;;1;;;;13;;;;;4;;;;;;2;1;;;;1;;;;;;;1;;;;;;;4;;;;;;;;1;6;;3;;5;1;;;;;;;;;149;13;;;;;;6;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;;1;
437931;12735;;2;;;12;1;;;;;;1;6;1;;;15;;;;;;1;;;1;;1;2;;1;1;;1;;;;;;;;;;;1;1;;;10;;;;;1;;;;;;1;2;;;;2;;;;;;;;;;2;2;;;8;;;;;;;;;1;;6;;2;2;;;;;;2;;;169;12;;3;;;;5;;;;;;;1;;;;;;1;;;;;;;3;;;;;;;;10;;;3;
437932;13301;;1;;;15;;;;;;;1;7;;;;15;;;;;;;;;;;;;1;;3;;1;;;;;;;;;;;;;;;10;;;;;3;;;;;;1;3;;;;;;1;;;;;1;;;;;;1;9;;;;;;;;1;2;;1;;12;;;;;;;;;;216;13;;;;;;1;3;;;;;;;;;;;;;;;;;;;5;;;;;1;;;2;;;;
437933;13678;;1;;;14;1;;;;;;5;8;;;;21;;;;;;;;1;;;1;1;;;2;;;;;;;;;;;;;;;;;14;;;;;3;;;;;;2;4;;;;;;;;1;;;;;;;;;;7;;;;;;;;;2;;2;;2;1;;;;;;1;;;274;18;;1;;;1;5;1;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;2;
437934;13859;;1;;;17;2;;;;;;;4;;;;13;;;;;;;;2;;;;1;3;;;;;;;;;;;;;;;;;;;20;;;;;1;;;;;1;2;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;3;;2;;6;;;;;;1;;;;432;30;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;2;
437935;14592;;1;;;12;;;;2;;;3;7;;;1;12;;;;;;;;;;;;2;;1;3;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;3;4;;;;;;;;;346;18;;;;;;6;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;2;;;1;
437936;15521;;;;;12;;;;;;;1;5;;;2;17;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;4;;4;;;;;;;;;;408;18;;1;;;1;4;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;;
437937;15820;;2;;;2;1;;;;;;;3;;;2;6;;;;2;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;3;;1;;3;2;;;;;;1;;;151;10;;1;;;;4;1;;1;;;;1;;;;;;;;;;;;;1;;;;;;;;1;;;;
437938;16168;;1;;;7;1;;;1;;;6;4;;;;9;;;;1;;;;;;;;1;2;;;;;;;;;1;;;;;;1;;;;14;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;3;;2;;5;;;;;;;1;;;456;40;;;;1;;4;2;;;;;;;;;;;;;;;;;;;3;;;;;;;;2;;;;
437939;16387;;1;;;5;;;;;;;1;1;;;1;4;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;2;;;;2;;;;;1;;;;;593;29;;;;;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437940;16725;;4;;;7;;;;;;;2;3;;;8;17;;;;;;;;;;;;2;3;;2;;;1;;;;15;;;;;;;;;;33;;;;;;;;;;;;3;;;;;;1;;;;;;;;2;;;;1;;;;;;;;;2;;;;6;;;;;;;;1;;690;48;;;;;1;4;2;;;;;1;;;;;;;;1;;;;;;;;;;;;;;4;;;;
437941;16962;;;;;5;;;;;;;5;7;;;;24;;;;4;;;;;;;;5;;1;;;;;;;2;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;4;;;;1;;;;;;;;;;426;20;;;;;;6;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
437942;17543;;2;;;13;1;;;1;;;3;3;2;;;18;;;;6;;;;3;3;;;2;4;;1;;;;;;;14;;;;;;;;;;13;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;3;;1;;7;;;;;;;;;;464;23;;1;;1;1;8;1;;;;;1;2;;;;;5;;;;;;;;2;;;;;;;1;2;;;;
437943;18095;1;;;;4;;;;;;;1;14;;;1;12;;;;2;;;;1;1;;;;;;2;;;;;;;;;;;;1;1;;;;25;3;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;1;2;;;;;;;;;2;;;;2;1;;;;;;;;;281;15;;;;1;;5;;;1;;;1;;;;;;;;1;;;;;;1;;;;;;;;3;;;1;
437944;18552;;3;;;4;2;;;;;;3;22;;;2;15;;;;;;;;;;;;;;;3;;;;;;;7;;;;;;;;;;17;4;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;2;;;;;;;;1;6;;2;;7;;;2;;;;;;;359;16;;;;;1;5;1;;1;;;;;;;;;;;;;;;;;3;;;;;;;;2;;;;
437945;18945;;1;;;4;;;;;;;;13;;;1;19;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;7;2;;;;;;;;;;;1;;;;;;;;;;;;;;;5;;;1;;;;;;;;;2;;;;1;;;;;;;;;;211;8;;1;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
437946;19339;;;;;12;1;;;;;;;21;;;2;17;;;;;;;;1;;;;;2;;3;;1;;;;;9;;;;;;;;;;6;3;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;5;;;;;;;;1;1;1;4;;1;;;;;;;;;;178;13;;;;;1;12;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
437947;19725;;2;;;5;1;;;1;;;1;21;;;1;26;;;;;;;1;3;;;;;;1;;;;;;;;;;;;;1;;1;;;15;2;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;1;;;;;;;;;4;;1;;4;1;;;;;;;;;200;8;;;;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437948;20116;;1;;;12;;;;;;;2;5;1;;;26;;;;3;;;1;7;;;;;;;;;;;;1;;;1;;;;;;;;;33;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;;1;;;1;;;;;;;;;7;;5;;3;;;;;;;;;1;257;18;;2;;;;4;3;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;2;;;1;
437949;20640;;3;1;;8;6;;;;;;;9;;;;32;;2;;;;;;1;1;;;;;;;;;;1;;1;;;;;;;;;;;17;;;;;1;;;;;;;2;;;1;1;;1;;;;;;;;;2;;;3;;1;;;;;1;1;1;;17;;2;1;;;;;;1;;;173;15;;1;;;;1;;;3;1;;;2;;1;;;5;;;;;;;;11;;;;;;;;5;;;1;
437950;21336;;2;;;4;;;;1;;;;11;;;1;20;;;;;;;;;1;;;;;;4;;;;;;;;;;;;;;;;;13;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2;;3;;1;1;;;;;;1;;;147;11;;;;;;2;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;
437951;22014;;;;;15;1;;;;;;;20;;;2;27;;;;;;;;2;1;;;;1;;7;;;;;;1;4;;;;;;1;;;;51;1;;;;;;;;;;;1;;;;1;;;;;;;;;;1;;;;5;;;;;;;;;3;;1;;12;;;1;;;1;1;;;222;16;;;;1;2;4;2;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;
437952;22592;;;;;9;1;;;;;;;11;1;;1;19;;;;;;;;1;;;;;;1;6;;;;;;;;;;;;;;;;;18;2;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;3;;;;;;;;;3;;4;;3;1;;;;;;1;;;98;6;;;;;1;2;2;;;;;;;;;;;;;;;1;1;;;3;;;;1;;;1;4;;;;
437953;23134;;;;;13;;;;;;;;28;;;;23;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;13;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;;;;2;;;;;;;;;;219;6;;;;1;;;3;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
437954;23687;;2;;;11;1;;;;;;2;16;;;;23;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;9;6;;;;;;;;;;;3;;;;1;;;;;;;;;;;;;;1;;;;;;;1;;4;;;;5;1;;;;;;;;;156;13;;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;;;;
437955;24016;;1;;;11;1;;;1;;;;12;;;1;20;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;7;20;;;;;;;;;1;;;;;;5;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;7;2;;;;;;;;;99;16;;;;;;;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;
437956;24230;;1;;;1;3;;;;;;;6;1;;;11;;;;;;;;;;;;;;;6;;1;;;;;;;;;;;;;;;14;3;;;;;;;;;;;;;;;8;5;;;;;;;;;;;;;7;;;;;;;;;;;;;9;1;;;;;4;2;;;51;60;;;;;;;1;;1;;;;;;;;;;;;;;;;;3;;;;;;;;2;;;3;
437957;24552;;4;;;10;1;;;;;;;17;;;2;25;;;;1;;;;1;;;1;;1;;;;;;;;1;;;;;;;;;;;11;27;;;;;;;;;;;;;;;6;;;;;;;;1;;;;;;3;;1;;;;;;;;;;;3;3;;;;;;;;;103;20;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437958;24762;;3;;;15;2;;;;;;;12;;;;40;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;9;44;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;2;1;;;;;;;;;;1;;8;2;;;;;;1;;;101;11;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;5;;;;
437959;25269;;1;;;35;;;;1;;;;11;;;1;30;;;;5;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;14;26;;;;1;;;;;;;;;;;8;;;;;;;;;;1;;;;4;;;;;;;;;1;;1;;5;2;;;;;;1;;;71;15;;2;;;;;1;;;;;;;;;;;;;;;;;;;3;;;;;;;;5;;;;
437960;25759;;2;;;27;3;;;;;;;8;1;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4;17;;;;1;;;;;;;3;;;;32;1;;;;;;;1;;;;;1;11;;;;;;;;;1;;2;;1;2;;;;;1;;;;52;11;;2;;;;1;;;;;;1;;;1;;;2;;;;;;;;7;;;;;;;;12;;;;
437961;26250;;2;;;19;;;;;;;;1;;;;6;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;4;31;;;;;;;;;;;;;;;23;;;;;;;;;;1;1;;;2;;2;;;;;;;3;;1;;1;1;;;;;;1;;;207;7;;1;;;;2;1;;;;;1;2;;1;;;;1;;;;;;;;;;;;;;;2;;;1;
437962;26734;;1;;;7;;;;;;;2;5;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;5;;1;;;;;;;;;;;;165;6;;;;;;1;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;1;;;;
437963;27227;;;;;5;;1;;1;;;3;12;1;;;27;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;12;1;;;;;;;;;;;2;;;;;;;;;1;;;;;1;;;;3;;;;;;;;;3;;;;7;3;;;;;;;;;338;18;;1;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437964;27718;;;;1;3;2;;;1;;;;14;;;;42;;;;;;;;2;;;;3;3;;4;1;;;;;;;;;;;;1;;;;18;3;;;;4;;;;;;1;2;;;;1;2;;;1;;;;;;1;2;;;2;;;;;;;;;6;;;;9;;;1;;;3;1;;;423;13;;;;;;26;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437965;28205;;1;;;2;;;;2;;;1;8;;;;13;;;;1;;;;8;;;;1;;;;;;;;;;;;;;;;1;;;;12;6;;;;3;;;;;;;2;;;;1;;;;;;;;;;;3;;;;;;;;;;;;4;;;;3;1;;;;;;;;;241;13;;;;;;11;1;;;;;;;;;;;1;;;;;;;;;;;;;;;11;;;;;
437966;29154;;3;;;5;;;;;;;1;3;;;;12;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;4;;;;3;;;;;;1;;;;124;5;;;;;;2;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
437967;29593;;1;;;1;1;;;;;;1;13;;;;27;;;;;;;;4;2;;1;;;;6;;;;;;;;;;;;1;;;;;10;3;;;;10;;;;;;;2;;;;;;1;;;;;;;1;;;;;2;;;;;;;;;1;;;;7;;;;;;;;;;215;10;;;;3;;1;;;7;;;;1;;;;;;;;;;;;;;;;;;;;2;;;;;
437968;30027;;2;;;3;1;;;1;;;1;7;;;;20;;;;2;;;;3;;;;;;;3;;;;;;;;;;;;1;;;;;8;1;;;;5;;;;;;;1;;;;1;1;1;;;;;;;;;;;;1;;;;;;;;;4;;3;;2;;;;;;;;;;200;13;;2;;;;3;;;;;;;1;;;;;;;;;;;;;1;;;;;;;6;1;;;;
437969;30459;;2;;;6;1;;;;;;4;17;;;1;22;;;;3;;;;2;;;;;;;;2;;;;;1;;;;;;1;5;;;;18;2;;;;10;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1;;;14;;1;;6;;;;;;;;1;;241;7;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;1;;;;
437970;30848;;2;;;5;2;;;2;;;2;17;;;5;17;;;;;;;;4;;;;;2;;;;;;;;;3;;;;;2;1;;;;11;1;;;;20;;;;;;;2;;;;;;;;;;;;;;;2;;;2;;;;;;;;;5;;2;;7;;;;;;1;2;;;420;11;;;;;;5;3;;1;;;;1;;;;;3;;1;;;;;1;3;;;;1;;;4;;;;;
437971;31190;1;2;;;;;;;;;;;16;;;;10;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;;;;;8;3;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;3;;1;;4;;;;;;;;;;234;10;;;;1;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;
437972;31534;;;;;6;;;;;;;4;25;1;;2;27;;;;;;;;2;;;;;;1;8;;;;;;;9;;;;;1;1;;;;22;4;;;;;;;;;;;3;;;;;1;;;;;;;1;;;;;;1;;;;;;;;;7;;;;17;;;;;;;;;;402;19;;;;;;2;3;;6;;;;;;;;;;;;;;;;;1;;;;;;;2;1;;;;
437973;31883;;1;;;7;;;;;;;2;11;;;;21;;;;;;;;1;;;;;;;1;;;;;;;;;;;;1;;;;;14;4;;;;;;;;;;;;;;;3;;;;;;;;;;;3;;;4;;;;;;;;;4;;;;7;;;;;;;;;;158;14;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;
437974;32237;;;1;;3;1;;;1;;;1;16;;;;15;;;;;;;;1;2;;;;;;5;;;;;;;;;;;;1;1;;;;28;1;;;;;;;;;;;1;;;;2;2;1;;;;;;;;;2;;;6;;;;;;;;;;;2;1;8;2;;;;;1;;;;150;20;;2;;;;;1;;10;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;
437975;32589;;;1;;1;;;;;;;2;14;;;;18;;;;;;;;2;;;;2;;;1;;1;;;;;;;;;;1;;;;;30;2;;1;;;;;;;;;12;;;;2;3;;;;;2;;;;;;;;5;;;;;;;;1;5;;;;4;1;;;;;6;;;;117;10;;;;5;;;3;;4;;;;;;;;;;;;;;;;;2;;;;;;;2;1;;;1;
437976;32927;;1;;;2;2;;;;;;;2;;;;16;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;16;;;;;;;;;;;;;;;;1;4;;;;;;;;;;;;;13;;;;;;;;;1;;2;;10;;;;;;4;;;;63;36;;;;;;;5;;;;;;;;1;;;;;;;;;;;5;;;;;;;;1;;;3;
437977;33258;;;;;4;;;;;;;;18;;;;20;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;19;;;1;;;;;;;;;1;;;;;1;;;;;;;;;;1;;;3;;;;;;;;;1;;1;;10;;;;;;;;;;243;30;;1;;;;1;1;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437978;33602;;;;1;7;;;;1;;;3;28;;;;30;;;1;;;;;1;;;;;2;;1;;1;;;;1;;;;;;;;;;;26;7;;;;1;;;;;;;3;;;;1;2;;;;;;;;;;4;;;5;;;;;;;1;;8;;6;;8;;;1;;;;;;;420;22;;;;;;4;4;;31;;;;1;;;;;1;1;;;2;;;;1;;1;;;;;;;;;;1
437979;33950;;1;;;3;;;;;;;;10;;;1;18;;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;17;4;;;;1;;;;;;;1;;;;;1;;;2;;;;;;;3;;;7;;;;;;;;;7;;;;7;;;;;;1;;;;186;25;;;;;;1;1;;26;;;;;;;;;;;;;;;;;2;;;;;;;1;;;;2;
437980;34332;;;1;;2;1;;;;;;1;1;1;;;12;;;;;;;;1;1;;1;;;;6;;;;;;;;;;;;;;;;;100;;;;;2;;;;;;;;;;;;5;;;;;;;;;;1;;;8;;;;;;;;;2;;;;3;;;;;;;;;;68;37;;2;;;;1;2;;22;;;;1;;;;;;;;;;;;;1;;;;;;;1;;;;1;
437981;34739;;;;;;2;;;;;;;5;1;;;11;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;22;;;;;;;;1;;;;;;;;;2;1;;;;;;;;1;1;;;5;;;;;;;;;;;1;;8;;;;;;;;;;35;32;;;;;1;;1;;190;;;;;;;;;;;;;;;;;;;;;;;;;1;;;3;
437982;35141;;;;;;;;;;;;;4;;;;6;;;;;;;;1;;;;;;;4;;;;;;;;;;;;;1;;;;67;2;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;8;;;;;;;;;;;;;9;;;;;;;;;;71;54;;;;;;2;;;260;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
437983;35546;;1;;;4;1;;;1;;;;9;;;;19;;2;;;;;;2;;;;1;;;13;1;;;;;;;;;;;;3;;;;24;2;;;;;;;;;2;;2;;;;;1;;;;1;;;;;;1;;;11;;;;;1;;;;6;;2;;20;;;;;;;1;;;130;29;;;;;;3;1;;154;;;;2;;;;;;;;;;;;;2;;;;;;;;;;1;;
437984;35957;;;;;4;3;;;;;;1;6;1;;;19;;;;;;;;;;;;;;;29;;;;;;;;;;;;;2;;;;39;;;1;;;;;;;;;;;;1;1;4;;;1;;;;;;1;1;;;4;;;;;;;;;2;;3;;12;;;;;;1;;;;55;54;;;;;;;1;;174;;;;;;1;;;;;;;;;;;3;;;;;;;;;;;;1
437985;36366;;1;;;7;4;;;;;;;5;4;;;19;;;;;;;;;;;;;;2;25;;;;;;;;;;;;;4;;;1;46;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;11;;;;;;;;1;2;;5;2;12;;;;;;4;;;;65;58;;;;;;;2;;101;;;;1;1;;;;;;1;;;;;2;4;;1;;;;;;2;;;;
437986;36777;;;;;4;;;;;;;1;5;1;;;17;;;;;;;1;;;;1;;;;25;;;;;;;;;;;;;5;;;;24;;;;;1;;;;;;;1;;1;;9;2;1;;;;;;;;;;;;2;;;;;1;;;;1;2;;;7;;;;;;1;;;;69;34;;;;1;;1;;;43;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;
437987;37187;;;;;5;3;;;;;2;1;1;;;1;14;;;;;;;1;;;;1;;;1;34;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;6;;;;;;;1;;4;;3;1;17;;;;;;7;;;;119;39;;;;;;;3;;41;;;;;;;;;;;;;;;;;5;;;;;;;;;;;2;
437988;37596;;1;;;8;1;;;;;;;6;;;;14;;;;;;;;;;;;;;;34;;;;;;;;;;;;;2;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;5;;;;;;;;;3;;;;13;;;;;;;;;;110;40;;;;;;;1;;41;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
437989;37992;;1;1;;2;4;;;;;;;1;3;;;19;;;;1;;;;;;;;;;;14;;;1;;;;;;;;;;2;;;;32;;;;;;;;;;;;;;;;4;3;;;;;;;;;2;;;;17;;;;;;;;;1;;4;2;16;;;;;;1;;;;86;53;;;;;;;2;;4;;;;;;;;;3;;;;1;;;;4;;;;;;;;;;;;
437990;38381;;;;;10;5;;;1;;1;3;8;7;;1;60;;;;2;;2;3;;1;;;;;;33;;;;;;1;;;;;;;3;;;;79;;;;;;;;2;;;;1;;;;1;11;1;;;;;;2;;1;3;;;12;;;;;;1;;;2;;9;6;41;;;3;;;8;;;;143;178;;3;;;;;6;;52;;;2;;;;;1;1;;2;;;;;;9;;;;;;;;1;;;2;
437991;38784;;;;;2;2;;;1;;;;2;1;;;20;;;;;;;;;;;;;;;10;;;;;;;;1;;;;;1;;;;20;;;;;;;;;;;;;;1;;;2;;;;;;;;;2;3;;;11;;;;;2;;;;;;2;;12;;;;;;1;1;;1;36;60;;;;;;;4;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;3;
437992;39191;;;;;5;1;1;;;;;;2;1;;;22;;;;;;1;;;;;;;;;10;;;;;;;;;;;;;;;;;36;;;;;1;;;;;;;;;;;2;5;;;;;;;;;2;4;;;10;;;;;;;;;;;2;;17;1;;;;;2;;;;33;67;;;;;;;2;;8;;;;1;;;;;1;;;;;;;;12;;;;;;;;;;;3;
437993;39595;;;;;2;13;;;;;;1;1;3;;;26;;;;;;1;1;;;;1;;;;1;;1;;;;;;;;;;;1;;;;8;;;;;;;;;;;;;;;;3;3;5;;;;;;;;4;;;;37;;;;;;2;;;1;;12;1;13;;;;;;2;;;;50;19;;3;;;;;2;;;;;;2;;;;;;;;;1;1;;;18;;;;;;;;2;1;;;
