"name","group","element","units","context","S437858","S437859","S437860","S437861","S437862","S437863","S437864","S437865","S437866","S437867","S437868","S437869","S437870","S437871","S437872","S437873","S437874","S437875","S437876","S437877","S437878","S437879","S437880","S437881","S437882","S437883","S437884","S437885","S437886","S437887","S437888","S437889","S437890","S437891","S437892","S437893","S437894","S437895","S437896","S437897","S437898","S437899","S437900","S437901","S437902","S437903","S437904","S437905","S437906","S437907","S437908","S437909","S437910","S437911","S437912","S437913","S437914","S437915","S437916","S437917","S437918","S437919","S437920","S437921","S437922","S437923","S437924","S437925","S437926","S437927","S437928","S437929","S437930","S437931","S437932","S437933","S437934","S437935","S437936","S437937","S437938","S437939","S437940","S437941","S437942","S437943","S437944","S437945","S437946","S437947","S437948","S437949","S437950","S437951","S437952","S437953","S437954","S437955","S437956","S437957","S437958","S437959","S437960","S437961","S437962","S437963","S437964","S437965","S437966","S437967","S437968","S437969","S437970","S437971","S437972","S437973","S437974","S437975","S437976","S437977","S437978","S437979","S437980","S437981","S437982","S437983","S437984","S437985","S437986","S437987","S437988","S437989","S437990","S437991","S437992","S437993","S437994","S437995","S437996"
Parinari-type,TRSH,pollen,NISP,,,,,,,,3,,,,1,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,
Persicaria nepalensis-type,UPHE,pollen,NISP,,,,,,,,1,,1,,,1,,,,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persicaria senegalensis-type,UPHE,pollen,NISP,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,3,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix reclinata,PALM,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Phyllanthus-type (P. fraternus),UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,2,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Phyllanthus-type (P. muellerianus),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Phyllanthus-type (P. nummulariifolius),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus-type (P. reticularus),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Phyllanthus-type (P. rivae),UPHE,pollen,NISP,,,,1,1,4,8,7,12,9,7,6,11,8,8,11,14,13,7,3,11,5,6,8,4,1,2,3,1,,,1,1,,,1,3,,1,1,1,2,4,1,,4,4,3,2,7,,4,3,5,2,9,1,4,,1,2,2,,1,1,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,3,,,,,,1,,,,1,5,4,,,1,,,,,1,4,1,7,,,8,1,2,2,5,,
Pilea-type (P. bambuseti),UPHE,pollen,NISP,,,1,2,,,,,,1,2,,,,,,,,1,,1,1,,,2,,,1,1,,1,,1,,1,1,,3,1,1,6,,,,2,1,1,1,5,,4,1,,,,,2,,,1,,1,1,,,,5,4,,1,,,,,2,,1,,,,1,1,,,,,,,,,,,1,1,1,1,,,,2,,1,1,,1,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,,,,1,,,,,
Plantago africana-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectranthus-type (P. otostegioides),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
Poaceae,UPHE,pollen,NISP,,86,100,98,78,47,38,66,36,50,58,34,75,39,45,80,77,65,75,40,43,69,45,89,32,46,61,44,32,30,48,101,35,31,32,29,42,35,23,43,37,30,57,34,31,31,20,22,32,19,44,27,32,37,53,36,26,30,39,30,30,39,50,59,28,42,41,43,105,87,199,202,240,149,169,216,274,432,346,408,151,456,593,690,426,464,281,359,211,178,200,257,173,147,222,98,219,156,99,51,103,101,71,52,207,165,338,423,241,124,215,200,241,420,234,402,158,150,117,63,243,420,186,68,35,71,130,55,65,69,119,110,86,143,36,33,50,54,19,34
Podocarpus,TRSH,pollen,NISP,,1,2,2,1,6,5,5,10,9,10,12,20,16,5,15,12,11,12,10,17,21,23,35,20,14,14,5,22,13,26,11,12,15,14,14,21,22,17,16,11,20,16,11,21,12,2,9,4,3,27,12,6,14,8,11,5,20,11,11,9,14,5,10,10,14,38,31,28,9,13,11,23,13,12,13,18,30,18,18,10,40,29,48,20,23,15,16,8,13,8,18,15,11,16,6,6,13,16,60,20,11,15,11,7,6,18,13,13,5,10,13,7,11,10,19,14,20,10,36,30,22,25,37,32,54,29,54,58,34,39,40,53,178,60,67,19,26,48,23
Polydora serratuloides-type,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygala-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyscias fulva-type,TRSH,pollen,NISP,,,,,1,,1,,,1,,,,,,1,,,,,,,,,6,,,2,,3,,1,,5,,,,,5,7,,,,7,4,,1,4,4,2,,3,4,1,,3,2,1,,2,3,2,2,1,,2,,2,,1,,,,,3,,1,,,1,1,,,,,1,,,1,,,2,1,,,,,,,,,,2,2,1,,1,,,,,2,,,,,,2,,,1,,,2,,,,,,,,,,3,,,3,1,1,
Potamogeton thunbergii-type,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,42,10,21,,,,,2,3,,,,,1,,1,,,,,,2,,,1,3,1,1,2,,,1,,,,,
Primulaceae,UPHE,pollen,NISP,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protea-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,,,1,,1,,,,,,,,,,1,,,,3,,,,1,,,,5,,,,,,,,,,,1,,,,,,,,,,
Prunus africana,TRSH,pollen,NISP,,,2,,,,,,,1,,,2,,,,,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,1,,,1,1,,1,,1,,1,,,,,2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ranunculus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,2,,6,5,1,5,4,6,4,4,4,2,4,6,8,5,5,8,12,1,4,1,2,4,2,,,,,,,,1,2,1,1,26,11,2,1,3,1,5,1,2,,,,,1,4,1,1,,2,3,,,1,,,,,,,,,,
Rapanea melanophloeos,TRSH,pollen,NISP,,,1,,2,1,1,1,1,,,2,2,1,,,2,,,,1,,,1,,,,1,1,,,,1,,,,,1,,3,,,2,,,,1,,1,,,2,,,,1,,2,1,1,,,,1,1,2,1,,1,1,,1,,,,3,1,2,1,,1,2,2,2,1,1,,1,,1,1,3,,1,2,2,3,2,5,1,1,1,1,,1,,2,5,1,,,,,3,1,3,,1,3,5,1,4,1,2,1,,1,1,2,,3,1,2,6,4,2,2,2,1,1
Resedaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Restio,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,1,,,1,,3,6,,,1,,,1,,,,,,,,,,1,7,,,1,,6,2,10,4,,26,31,26,22,190,260,154,174,101,43,41,41,4,52,,8,,6,1,7
Rhamnaceae,TRSH,pollen,NISP,,,,,,,,2,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricinus communis,UPHE,pollen,NISP,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubia-type,UPHE,pollen,NISP,,,,,,,,,1,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Rubiaceae,TRSH,pollen,NISP,,,,2,,,,1,,3,1,,1,,1,,1,4,2,,,1,1,,1,,2,1,2,,4,1,,,2,,1,3,1,1,4,,7,,3,,,1,,2,2,,1,1,,1,3,4,,2,1,1,,,2,1,2,4,,1,1,,,,1,,,,,1,1,,,,,2,,,,,,,2,,,,,,,,,,,,2,1,,,,,1,1,,1,,,,,,,,1,,1,,,2,,1,,,,,,,1,2,,,
Rubus pinnatus-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Rumex,UPHE,pollen,NISP,,,,1,,1,,,2,,,,,,,2,,,,,,3,,1,,,,1,,,,2,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,
Salix subserrata,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Sapotaceae,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Schefflera abyssinica-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schefflera myriantha-type,TRSH,pollen,NISP,,,1,,1,,,7,,,,1,3,1,2,1,1,5,1,,5,3,15,19,3,9,11,2,6,,20,7,6,2,11,5,14,18,,2,16,8,11,2,11,1,,,3,1,1,,,2,4,1,,1,2,4,5,5,,,,3,,6,1,,2,,3,,,,,,,,,,,,,5,,,,,,,5,,,,,1,,,,,,2,,,,,1,,,,,3,,,,,,,,1,,,,,,,,,,,3,1,,1,,1,1,
Sericostachys-type (S. scandens),UPHE,pollen,NISP,,,,1,,1,,,,,,,,,,,,,1,,,,1,1,,,,,1,1,,,1,,,,,,,,1,2,1,,,,,,,,,1,1,,,1,,,,1,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
Seriphium kilimandscharicum-type,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Silene-type (S. burchellii),UPHE,pollen,NISP,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,,,,,
Solanecio-type (S. mannii),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphagnum,AQBR,spore,NISP,,,2,,4,1,,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,2,,1,2,,1,2,1,4,2,6,1,1,,7,9,2,1,1,3,3,1,2,,,2,,,,,,,6,2,,2,3,16,10,8,3,3,2,,2,2,,,2,,,,,,,,1,2,10,3,,3,2,1,2,,7,11,4,2,11,66,9,10,6,2,5,,1,15,6,6,,,,
Stellaria mannii-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,1,,,
Stephania-type (S. abyssinica),UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,3,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Sterculia-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swertia usambarensis-type,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Swertia-type (S. kilimandscharica),UPHE,pollen,NISP,,,1,,,,,,,,,,,1,1,,,,,,,3,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
Syzygium-type,TRSH,pollen,NISP,,,4,3,6,4,1,10,6,11,4,5,8,9,8,10,8,10,9,5,13,12,9,13,13,15,8,5,23,16,7,11,25,6,21,8,11,23,15,15,21,20,16,10,27,8,22,10,10,6,12,11,13,15,4,7,10,12,7,11,15,11,12,5,4,7,21,25,4,2,2,1,2,3,3,5,1,,,,1,3,,,1,2,1,3,,2,,,11,,1,3,1,,,3,,2,3,7,,1,,,,1,,1,,3,1,1,1,,2,5,,1,2,1,,3,2,3,4,1,5,,4,9,7,12,18,10,21,15
Teclea-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrorchidium,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,2,,,,1,1,1,1,,,1,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,
Thymelaeaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Tilioideae,TRSH,pollen,NISP,,,1,,1,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,1,2,1,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
Trema-type (T. orientalis),TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Triletes,PTER,spore,NISP,,2,4,8,3,7,16,37,9,3,6,9,9,5,4,17,6,9,4,,2,4,2,3,2,3,3,4,1,,6,10,4,2,5,4,5,2,3,1,7,4,23,5,4,3,3,4,6,4,1,2,3,2,6,5,1,4,5,6,11,9,2,3,6,10,3,5,5,8,12,1,2,,5,1,1,,2,2,3,1,3,,5,4,4,1,1,3,1,1,2,4,4,9,9,6,2,1,9,13,6,3,1,,3,3,2,2,1,2,2,2,,1,1,4,5,8,10,3,2,1,1,3,2,5,2,4,7,9,5,19,6,6,9,10,30,5
Typha,AQVP,pollen,NISP,,,,,1,,,2,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,1,,,,,,1,1,,,1,,1,,,,,,
Uapaca,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uebelinia-type (U. abyssinica),UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,11,,2,6,,4,,2,,1,2,,,,1,1,,,,,,,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,10,15,11,20,7,6,9,5,13,7,21,4,19,7,9,16,11,9,6,7,18,20,21,10,29,8,7,15,12,14,7,8,12,19,9,17,19,16,10,24,15,14,10,24,23,11,7,11,8,17,17,18,21,3,20,18,16,3,21,10,16,3,12,9,16,26,22,3,4,3,4,9,4,6,4,5,7,5,9,4,11,6,5,6,25,10,11,3,4,5,6,18,5,8,8,4,3,6,9,14,14,16,45,32,4,2,1,,2,3,5,11,18,3,20,17,22,10,10,4,2,2,1,3,3,3,7,30,13,40,18,22,15,7,13,13,12,5,17
Urticaceae,UPHE,pollen,NISP,,9,5,15,1,5,,1,11,3,8,7,8,1,,,2,,3,4,1,5,3,2,1,3,,14,8,3,1,1,1,3,3,5,,5,,6,8,2,3,1,7,2,11,18,11,7,4,4,4,12,8,9,6,2,,6,6,6,4,6,14,5,5,7,6,5,,2,2,1,10,2,,3,2,1,1,2,,4,,2,3,2,1,,,2,5,2,,4,,4,1,2,,5,5,12,2,1,,,,,,1,1,,,1,,,1,1,,,,,1,,,,2,,,,,1,,,2,2,2,6
Vangueria-type (V. madagascariensis var. madagascariensis),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Vernonieae,UPHE,pollen,NISP,,,,,,,,1,1,,,1,1,1,1,1,,,1,1,1,3,1,1,,1,5,,1,1,,3,1,1,2,1,,,3,3,3,1,4,2,5,,1,,,1,5,1,2,3,,,1,,1,4,2,2,4,1,,1,4,5,,,,,1,,2,,,1,,,,1,,,1,,,,,,1,1,2,,,1,,,,1,1,1,,,,,,1,,,,1,,1,,,1,,1,1,1,,,,3,2,,2,2,,,,1,3,1,,4,,1,1
Virectaria,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,2,,,,,,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Xyris,UPHE,pollen,NISP,,8,6,,5,5,2,,,,,1,3,,1,2,,1,1,,,,3,,,,,,,,,,,,,,,1,,,,,,3,,,,,,1,,,1,,1,,,1,1,4,,,,3,1,3,,,7,5,2,1,3,1,3,,2,2,1,,,,,,,,1,,,,,1,1,1,,,,,,3,,,,,1,,,,,,,,,,2,,1,,1,3,,,2,1,3,,,,,1,2,,,2,3,3,,4,,3
Zanthoxylum chalybeum-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Zanthoxylum usambarense-type,TRSH,pollen,NISP,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
